week,population,police,crime,emp,un,ymale,white,borough
75,158919,19565,371,0.66481161,0.069801912,0.088583194,0.61001921,1
76,158919,18953,376,0.57957906,0.091303304,0.066248648,0.59817332,1
77,158919,20011,390,0.6438694,0.033740617,0.07192912,0.62214452,1
78,158919,20439,432,0.67684662,0.04003863,0.074750096,0.59819621,1
79,158919,22670,442,0.62374711,0.030517194,0.086509302,0.68862265,1
80,158919,35070.801,410,0.58574724,0.062290676,0.05874905,0.63146234,1
81,158919,27917,424,0.67966235,0.031476729,0.063106596,0.68786603,1
82,158919,30646.801,387,0.65360737,0.038130637,0.078901462,0.51803595,1
83,158919,34233.199,443,0.66959792,0.044454243,0.073822178,0.53014845,1
84,158919,29531,365,0.63111275,0.048603326,0.052966326,0.61468464,1
85,158919,23413.199,414,0.68547553,0.047832552,0.058420796,0.71923941,1
86,158919,18099,373,0.58661032,0.027872086,0.060369287,0.54992789,1
87,158919,21456,582,0.52602816,0.067223631,0.081644438,0.49284202,1
88,158919,18127,419,0.62692869,0.06534595,0.081515521,0.58318216,1
89,158919,20947,387,0.62000555,0.070918679,0.055892862,0.58749348,1
90,158919,20346,388,0.65749621,0.044456299,0.069651864,0.63486648,1
91,158919,19619,427,0.63870215,0.062855922,0.091891348,0.60094494,1
92,158919,21797.5,344,0.65387034,0.058583528,0.068920538,0.73560476,1
93,158919,20408.051,363,0.60452324,0.048966039,0.070732392,0.64693427,1
94,158919,20698.883,423,0.60123312,0.074725382,0.09139125,0.64731091,1
95,158919,19482.5,378,0.65492171,0.044058502,0.077745929,0.53471208,1
96,158919,20517.25,406,0.67620492,0.055811353,0.055746946,0.50426644,1
97,158919,20894.984,392,0.60429513,0.085511714,0.043125257,0.58341479,1
98,158919,20343.801,387,0.67721164,0.04079451,0.052201781,0.73280752,1
99,158919,20585.25,365,0.58704078,0.034946702,0.072974667,0.51625186,1
100,158919,21087.5,383,0.60138708,0.050869245,0.062644035,0.51917183,1
101,158919,21014.65,350,0.62315202,0.043238711,0.075840198,0.58915752,1
102,158919,20927.051,396,0.63086784,0.076047696,0.087571256,0.54550356,1
103,158919,20017,454,0.61926633,0.051359423,0.067609973,0.57852751,1
